grazing.compare,grazing.compare.simplified,,ID,grazing.compare,grazing.reduced
ungrazed,ungrazed,,1003,ungrazed,ungrazed
grazed,grazed,,1003,grazed,grazed
both,grazed,,1020,ungrazed,ungrazed
cattle,grazed,,1020,grazed,grazed
megaherbivores,,,1033,ungrazed,ungrazed
moderately grazed,medium,,1033,grazed,grazed
heavily grazed,high,,1040,ungrazed,ungrazed
grazed-sheep,grazed,,1040,grazed,grazed
grazed-sheep and cattle,grazed,,106,grazed,grazed
high,high,,106,ungrazed,ungrazed
medium,medium,,1095,ungrazed,ungrazed
low,low,,1095,both,both
grazed (sheep),grazed,,1095,cattle,grazed
grazed (cattle),grazed,,1095,megaherbivores,grazed
M/S/I,other,,1099,grazed,grazed
L/M/S/I,other,,1099,ungrazed,ungrazed
S/I,other,,1104,grazed,ga
I,other,,1104,ungrazed,ungrazed
ungazed,ungrazed,,1108,ungrazed,ungrazed
no grazing,ungrazed,,1108,grazed,grazed
grazing ,grazed,,111,grazed,grazed
heavy,high,,111,ungrazed,ungrazed
moderate,medium,,1139,grazed,grazed
wild large herbivores and cattle,grazed,,1139,ungrazed,ungrazed
wild large herbivores,ungrazed,,1147,moderately grazed,medium
light,low,,1147,heavily grazed,grazed
abandoned,ungrazed,,1147,ungrazed,ungrazed
low to moderate,low,,115,grazed-sheep,grazed
lightly grazed,low,,115,grazed-sheep and cattle,grazed
late stage abandoned,ungrazed,,115,ungrazed,ungrazed
early stage abandoned,grazed,,1187,ungrazed,ungrazed
extensively grazed,grazed,,1187,grazed,grazed
continously grazed,grazed,,1190,ungrazed,ungrazed
cattle grazed,grazed,,1190,grazed,grazed
sheep grazed,grazed,,121,grazed,grazed
horse grazed,grazed,,121,ungrazed,ungrazed
low intense,low,,1235,megaherbivores,grazed
intensive,high,,1235,cattle,grazed
extensive,medium,,1235,ungrazed,ungrazed
re-established pasture,ungrazed,,1242,grazed,grazed
abandoned pasture,ungrazed,,1242,ungrazed,ungrazed
old pasture,ungrazed,,1274,grazed,grazed
currently grazed,grazed,,1274,ungrazed,ungrazed
abandoned 1-9 years ago,ungrazed,,1302,ungrazed,ungrazed
abandoned >10 years ago,ungrazed,,1302,grazed,grazed
instensively grazed,high,,1304,grazed,grazed
moderately/ungrazed,medium,,1304,ungrazed,ungrazed
high to moderate,medium,,1316,ungrazed,ungrazed
no change,other,,1316,grazed,grazed
moderate to high,medium,,1318,ungrazed,ungrazed
moderate to low,low,,1318,grazed,grazed
late,grazed,,1321,ungrazed,ungrazed
continuous,grazed,,1321,grazed,grazed
intermediate,medium,,1354,grazed,grazed
rotatiol,grazed,,1354,ungrazed,ungrazed
season-long,grazed,,1370,ungrazed,ungrazed
0,ungrazed,,1370,grazed,grazed
1,grazed,,1373,grazed,grazed
non-grazed,ungrazed,,1373,ungrazed,ungrazed
