uniqueID,Title,Authors,Source Title,Publication Year,investigator,exclude,reason,grazer.spp,grazer.status,contrast,grazing.legacy,grazing.timeframe,lat,lon,elevation,country,n.sites,survey.technique,Plants,Soil.microbia,Annelida,Arthropoda,Amphibia,Reptilia,Aves,Mammalia
1,Changes in the abundance of farmland birds in relation to the timing of agricultural intensification in England and Wales,"Chamberlain, DE; Fuller, RJ; Bunce, RGH; Duckworth, JC; Shrubb, M",JOURNAL OF APPLIED ECOLOGY,2000,AF,yes,modelling,,,,,,,,,,,,,,,,,,,
2,MICROBIAL AND FAUNAL INTERACTIONS AND EFFECTS ON LITTER NITROGEN AND DECOMPOSITION IN AGROECOSYSTEMS,"BEARE, MH; PARMELEE, RW; HENDRIX, PF; CHENG, WX; COLEMAN, DC; CROSSLEY, DA",ECOLOGICAL MONOGRAPHS,1992,AF,yes,no grazing comparison,,,,,,,,,,,,,,,,,,,
3,"EFFECTS OF GRAZING, COMPETITION, DISTURBANCE AND FIRE ON SPECIES COMPOSITION AND DIVERSITY IN GRASSLAND COMMUNITIES","BELSKY, JA",JOURNAL OF VEGETATION SCIENCE,1992,AF,yes,plants only,,,,,,,,,,,,,,,,,,,
4,Ungulate vs. landscape control of soil C and N processes in grasslands of Yellowstone National Park,"Frank, DA; Groffman, PM",ECOLOGY,1998,AF,yes,soil nutrients only,,,,,,,,,,,,,,,,,,,
5,Contrasting responses of plant and insect diversity to variation in grazing intensity,"Kruess, A; Tscharntke, T",BIOLOGICAL CONSERVATION,2002,AF,no,,cattle,domestic,grazed vs. ungrazed,none,3-5 yr,53.7139352,9.733176,14,Germany,24,suction sampling,,0,0,1,0,0,0,0
6,How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands,"Stohlgren, TJ; Schell, LD; Vanden Heuvel, B",ECOLOGICAL APPLICATIONS,1999,AF,yes,plants only,,,,,,,,,,,,,,,,,,,
7,Fire and grazing regulate belowground processes in tallgrass prairie,"Johnson, LC; Matchett, JR",ECOLOGY,2001,AF,yes,soil nutrients only,,,,,,,,,,,,,,,,,,,
8,"Grazing intensity and the diversity of grasshoppers, butterflies, and trap-nesting bees and wasps","Kruess, A; Tscharntke, T",CONSERVATION BIOLOGY,2002,AF,no,,cattle,domestic,grazed vs. ungrazed,none,3-5 yr,53.7139352,9.733176,14,Germany,18,suction sampling,,0,0,1,0,0,0,0
9,"Fire treatment effects on vegetation structure, fuels, and potential fire severity in western US forests","Stephens, Scott L.; Moghaddas, Jason J.; Edminster, Carl; Fiedler, Carl E.; Haase, Sally; Harrington, Michael; Keeley, Jon E.; Knapp, Eric E.; McIver, James D.; Metlen, Kerry; Skinner, Carl N.; Youngblood, Andrew",ECOLOGICAL APPLICATIONS,2009,AF,yes,no grazing comparison,,,,,,,,,,,,,,,,,,,
10,"Grazing intensity and ecosystem processes in a northern mixed-grass prairie, USA","Biondini, ME; Patton, BD; Nyren, PE",ECOLOGICAL APPLICATIONS,1998,AF,yes,plants only,,,,,,,,,,,,,,,,,,,
11,DIRECT AND INDIRECT EFFECTS OF CRAYFISH GRAZING IN A STREAM COMMUNITY,"CREED, RP",ECOLOGY,1994,,,,,,,,,,,,,,,,,,,,,,
12,Conservation management of calcareous grasslands. Changes in plant species composition and response of functional traits during 25 years,"Kahmen, S; Poschlod, P; Schreiber, KF",BIOLOGICAL CONSERVATION,2002,,,,,,,,,,,,,,,,,,,,,,
13,Effects of climate and management intensity on nitrous oxide emissions in grassland systems across Europe,"Flechard, C. R.; Ambus, P.; Skiba, U.; Rees, R. M.; Hensen, A.; van Amstel, A.; van den Pol-van Dasselaar, A.; Soussana, J-F; Jones, M.; Clifton-Brown, J.; Raschi, A.; Horvath, L.; Neftel, A.; Jocher, M.; Ammann, C.; Leifeld, J.; Fuhrer, J.; Calanca, P.; Thalman, E.; Pilegaard, K.; Di Marco, C.; Campbell, C.; Nemitz, E.; Hargreaves, K. J.; Levy, P. E.; Ball, B. C.; Jones, S. K.; van de Bulk, W. C. M.; Groot, T.; Blom, M.; Domingues, R.; Kasper, G.; Allard, V.; Ceschia, E.; Cellier, P.; Laville, P.; Henault, C.; Bizouard, F.; Abdalla, M.; Williams, M.; Baronti, S.; Berretti, F.; Grosz, B.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2007,,,,,,,,,,,,,,,,,,,,,,
14,Herbivores inhibit climate-driven shrub expansion on the tundra,"Olofsson, Johan; Oksanen, Lauri; Callaghan, Terry; Hulme, Philip E.; Oksanen, Tarja; Suominen, Otso",GLOBAL CHANGE BIOLOGY,2009,,,,,,,,,,,,,,,,,,,,,,
15,"Assessing the rate, mechanisms, and consequences of the conversion of tallgrass prairie to Juniperus virginiana forest","Briggs, JM; Hoch, GA; Johnson, LC",ECOSYSTEMS,2002,,,,,,,,,,,,,,,,,,,,,,
16,Effects of white-tailed deer on populations of an understory forb in fragmented deciduous forests,"Augustine, DJ; Frelich, LE",CONSERVATION BIOLOGY,1998,,,,,,,,,,,,,,,,,,,,,,
17,Tree spacing and coexistence in semiarid savannas,"Jeltsch, F; Milton, SJ; Dean, WRJ; VanRooyen, N",JOURNAL OF ECOLOGY,1996,,,,,,,,,,,,,,,,,,,,,,
18,Shrub invasion of grassland: Recruitment is continuous and not regulated by herbaceous biomass or density,"Brown, JR; Archer, S",ECOLOGY,1999,,,,,,,,,,,,,,,,,,,,,,
19,FIRE AND GRAZING IN THE TALLGRASS PRAIRIE - CONTINGENT EFFECTS ON NITROGEN BUDGETS,"HOBBS, NT; SCHIMEL, DS; OWENSBY, CE; OJIMA, DS",ECOLOGY,1991,,,,,,,,,,,,,,,,,,,,,,
20,Effects of habitat complexity and composition on a diverse litter microarthropod assemblage,"Hansen, RA",ECOLOGY,2000,,,,,,,,,,,,,,,,,,,,,,
21,Impact of China's Grain for Green Project on the landscape of vulnerable arid and semi-arid agricultural regions: a case study in northern Shaanxi Province,"Cao, Shixiong; Chen, Li; Yu, Xinxiao",JOURNAL OF APPLIED ECOLOGY,2009,,,,,,,,,,,,,,,,,,,,,,
22,Effects of native grazers on grassland N cycling in Yellowstone National Park,"Frank, DA; Evans, RD",ECOLOGY,1997,,,,,,,,,,,,,,,,,,,,,,
23,"Effects of bison grazing, fire, and topography on floristic diversity in tallgrass prairie","Hartnett, DC; Hickman, KR; Walter, LEF",JOURNAL OF RANGE MANAGEMENT,1996,,,,,,,,,,,,,,,,,,,,,,
24,"Cars, cows, and checkerspot butterflies: Nitrogen deposition and management of nutrient-poor grasslands for a threatened species","Weiss, SB",CONSERVATION BIOLOGY,1999,,,,,,,,,,,,,,,,,,,,,,
25,"THE ECOLOGY OF PLANTS, LARGE MAMMALIAN HERBIVORES, AND DROUGHT IN YELLOWSTONE-NATIONAL-PARK","FRANK, DA; MCNAUGHTON, SJ",ECOLOGY,1992,,,,,,,,,,,,,,,,,,,,,,
26,Effects of migratory grazers on spatial heterogeneity of soil nitrogen properties in a grassland ecosystem,"Augustine, DJ; Frank, DA",ECOLOGY,2001,,,,,,,,,,,,,,,,,,,,,,
