"UniqueSite","grazed_mean","ungrazed_mean","grazed_sd","ungrazed_sd","grazed_n","ungrazed_n","yi","vi","Study","higher.taxa","taxa","FG","measure"
"1775-Plant-Plants-PlantProducer-percent.cover",0.953294117647059,0.893588235294118,1.75393328567202,1.63031868275897,17,8,-0.0336199155657087,0.183846135386218,"1775","Plant","Plants","PlantProducer","percent.cover"
"1147-Plant-Plants-PlantProducer-percent.cover",29.135,28.91,8.7906,11.9168,44,20,-0.0225545011946824,0.0727312469891801,"1147","Plant","Plants","PlantProducer","percent.cover"
"1380-Plant-Plants-PlantProducer-abundance",32.5555555555556,53.2222222222222,42.2488888888889,34.1911111111111,5.33333333333333,4.66666666666667,0.48126523071025,0.413366525400244,"1380","Plant","Plants","PlantProducer","abundance"
"1399-Plant-Plants-PlantProducer-percent.cover",11.0638297866667,13.54609929,3.33617021229333,3.47517730550667,21,7,0.715353439910888,0.199614235904625,"1399","Plant","Plants","PlantProducer","percent.cover"
"1722-Plant-Plants-PlantProducer-abundance",66.139,80.037,6.09364,6.14264,3,3,1.81246436270849,0.940418922174024,"1722","Plant","Plants","PlantProducer","abundance"
"1722-Plant-Plants-PlantProducer-height",21.442,29.568,3.81612,3.81612,3,3,1.69900578102473,0.907218386996287,"1722","Plant","Plants","PlantProducer","height"
"1835-Fungi-AMF-FungiProducer-spore density",3.12,5.12,0.51352,0.66248,36,36,3.33809249629338,0.132936538290348,"1835","Fungi","AMF","FungiProducer","spore density"
"1893-Plant-Plants-PlantProducer-height",13.85,26.95,14.85,31.85,26,82.5,0.452024982869058,0.0515243477492841,"1893","Plant","Plants","PlantProducer","height"
"1893-Plant-Plants-PlantProducer-percent.cover",0.97,15.71,2.5,20.425,26,82.5,0.817255963857818,0.0536606644558435,"1893","Plant","Plants","PlantProducer","percent.cover"
"1895-Plant-Plants-PlantProducer-percent.cover",41.069,70.464,28.11816,23.98256,20,20,1.10248031486353,0.11519328555827,"1895","Plant","Plants","PlantProducer","percent.cover"
"1926-Plant-Plants-PlantProducer-height",4.63,16.51,2.0972,2.0972,24,24,5.57174694981452,0.406712125757994,"1926","Plant","Plants","PlantProducer","height"
"1926-Plant-Plants-PlantProducer-litter.cover",0.37,1.5,0.1372,0.1372,24,24,8.10100918352662,0.76694114366232,"1926","Plant","Plants","PlantProducer","litter.cover"
"2002-Plant-Plants-PlantProducer-height",4.2625,86.25,3.6075,9.32,32,44,10.8517389264551,0.828715678832143,"2002","Plant","Plants","PlantProducer","height"
"2002-Plant-Plants-PlantProducer-percent.cover",2.09875,2.965,2.00125,5.94,32,44,0.182060962600205,0.0541953397937393,"2002","Plant","Plants","PlantProducer","percent.cover"
"397-Plant-Plants-PlantProducer-height",9.6,27.4,3.332,2.94,30,34,5.61872845702415,0.309386578303067,"397","Plant","Plants","PlantProducer","height"
"402-Plant-Plants-PlantProducer-percent.cover",22.3,30.2,4.9,5.488,8,8,1.4354713916336,0.314393066131203,"402","Plant","Plants","PlantProducer","percent.cover"
"422-Plant-Plants-PlantProducer-percent.cover",22.4,30.1,4.5864,5.488,12,12,1.46993917600072,0.211681691273785,"422","Plant","Plants","PlantProducer","percent.cover"
"444-Plant-Plants-PlantProducer-percent.cover",34.6,49.2,10.388,16.072,5,5,0.973962043141189,0.447430103073988,"444","Plant","Plants","PlantProducer","percent.cover"
"46-Plant-Plants-PlantProducer-abundance",9.5,37.6,7,15.6,2,2,1.31125574743181,1.21492395439662,"46","Plant","Plants","PlantProducer","abundance"
"874-Plant-Plants-PlantProducer-density",32.4,61.6,11.368,12.25,5,5,2.23055097001621,0.648767881492013,"874","Plant","Plants","PlantProducer","density"
"929-Plant-Plants-PlantProducer-percent.cover",56.1,37.6,18.032,6.272,14,14,-1.33040803244091,0.17446402737113,"929","Plant","Plants","PlantProducer","percent.cover"
