uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Cryptoblepharus,carnabyi,,abundance,mean,0.714285714,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Cryptoblepharus,carnabyi,,abundance,se,0.285714286,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Cryptoblepharus,carnabyi,,abundance,mean,1.857142857,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Cryptoblepharus,carnabyi,,abundance,se,0.459221465,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenophorus,pictus,,abundance,mean,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenophorus,pictus,,abundance,se,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenophorus,pictus,,abundance,mean,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenophorus,pictus,,abundance,se,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenotus,brachyonyx,,abundance,mean,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenotus,brachyonyx,,abundance,se,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenotus,brachyonyx,,abundance,mean,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenotus,brachyonyx,,abundance,se,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenotus,regius,,abundance,mean,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenotus,regius,,abundance,se,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenotus,regius,,abundance,mean,0.428571429,,
