uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,,,,,,,,,
1859,Caballoÿ,2012-2013,43,grazed,61,animal unit month,605-6790,plant,,,,browse biomass gm2 at foraging site,mean,30.8,,,,,,,,,
1859,San Andres,2012-2013,17,ungrazed,0,animal unit month,605-6790,plant,,,,browse biomass gm2 at foraging site,mean,31,,,,,,,,,
1859,Caballoÿ,2012-2013,43,grazed,61,animal unit month,605-6790,plant,,,,browse biomass gm2 at foraging site,se,9,,,,,,,,,
1859,San Andres,2012-2013,17,ungrazed,0,animal unit month,605-6790,plant,,,,browse biomass gm2 at foraging site,se,5.2,,,,,,,,,
1859,Caballoÿ,2012-2013,160,grazed,61,animal unit month,605-6790,plant,,,,browse biomass gm2 at range wide,mean,9.9,,,,,,,,,
1859,San Andres,2012-2013,160,ungrazed,0,animal unit month,605-6790,plant,,,,browse biomass gm2 at range wide,mean,12.6,,,,,,,,,
1859,Caballoÿ,2012-2013,160,grazed,61,animal unit month,605-6790,plant,,,,browse biomass gm2 at range wide,se,2.2,,,,,,,,,
1859,San Andres,2012-2013,160,ungrazed,0,animal unit month,605-6790,plant,,,,browse biomass gm2 at range wide,se,7.1,,,,,,,,,
1859,Caballoÿ,2012-2013,43,grazed,61,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at foraging site,mean,1.8,,,,,,,,,
1859,San Andres,2012-2013,17,ungrazed,0,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at foraging site,mean,2.1,,,,,,,,,
1859,Caballoÿ,2012-2013,43,grazed,61,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at foraging site,se,0.4,,,,,,,,,
1859,San Andres,2012-2013,17,ungrazed,0,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at foraging site,se,0.8,,,,,,,,,
1859,Caballoÿ,2012-2013,160,grazed,61,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at range wide,mean,0.9,,,,,,,,,
1859,San Andres,2012-2013,160,ungrazed,0,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at range wide,mean,2.6,,,,,,,,,
1859,Caballoÿ,2012-2013,160,grazed,61,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at range wide,se,0.1,,,,,,,,,
1859,San Andres,2012-2013,160,ungrazed,0,animal unit month,605-6790,plant,,,,groundcover biomass gm2 at range wide,se,0.3,,,,,,,,,
1859,Caballoÿ,2012-2013,92,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,foraging efficiency,mean,356.7,,,,,,,,,
1859,San Andres,2012-2013,94,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,foraging efficiency,mean,337.5,,,,,,,,,
1859,Caballoÿ,2012-2013,92,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,foraging efficiency,se,25.8,,,,,,,,,
1859,San Andres,2012-2013,94,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,foraging efficiency,se,21.2,,,,,,,,,
1859,Caballoÿ,2012-2013,92,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,feeding seconds/step,mean,6.5,,,,,,,,,
1859,San Andres,2012-2013,94,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,feeding seconds/step,mean,5.2,,,,,,,,,
1859,Caballoÿ,2012-2013,92,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,feeding seconds/step,se,0.6,,,,,,,,,
1859,San Andres,2012-2013,94,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,feeding seconds/step,se,0.3,,,,,,,,,
1859,Caballoÿ,2012-2013,58,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult male,mean,12,,,,,,,,,
1859,San Andres,2012-2013,73,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult male,mean,8,,,,,,,,,
1859,Caballoÿ,2012-2013,58,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult male,se,2.569,,,,,,,,,
1859,San Andres,2012-2013,73,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult male,se,2.227,,,,,,,,,
1859,Caballoÿ,2012-2013,58,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult male,mean,14,,,,,,,,,
1859,San Andres,2012-2013,73,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult male,mean,16,,,,,,,,,
1859,Caballoÿ,2012-2013,58,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult male,se,3.31,,,,,,,,,
1859,San Andres,2012-2013,73,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult male,se,2.613,,,,,,,,,
1859,Caballoÿ,2012-2013,58,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult male,mean,18,,,,,,,,,
1859,San Andres,2012-2013,73,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult male,mean,9,,,,,,,,,
1859,Caballoÿ,2012-2013,58,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult male,se,2.931,,,,,,,,,
1859,San Andres,2012-2013,73,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult male,se,1.724,,,,,,,,,
1859,Caballoÿ,2012-2013,79,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult female,mean,14,,,,,,,,,
1859,San Andres,2012-2013,90,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult female,mean,9,,,,,,,,,
1859,Caballoÿ,2012-2013,79,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult female,se,2.226,,,,,,,,,
1859,San Andres,2012-2013,90,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult female,se,1.883,,,,,,,,,
1859,Caballoÿ,2012-2013,79,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult female,mean,23,,,,,,,,,
1859,San Andres,2012-2013,90,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult female,mean,32,,,,,,,,,
1859,Caballoÿ,2012-2013,79,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult female,se,2.787,,,,,,,,,
1859,San Andres,2012-2013,90,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult female,se,2.788,,,,,,,,,
1859,Caballoÿ,2012-2013,79,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult female,mean,15,,,,,,,,,
1859,San Andres,2012-2013,90,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult female,mean,8,,,,,,,,,
1859,Caballoÿ,2012-2013,79,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult female,se,2.069,,,,,,,,,
1859,San Andres,2012-2013,90,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,traveling time adult female,se,1.034,,,,,,,,,
1859,Caballoÿ,2012-2013,36,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult yearling,mean,13,,,,,,,,,
1859,San Andres,2012-2013,46,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult yearling,mean,10,,,,,,,,,
1859,Caballoÿ,2012-2013,36,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult yearling,se,3.768,,,,,,,,,
1859,San Andres,2012-2013,46,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,grazing time adult yearling,se,2.911,,,,,,,,,
1859,Caballoÿ,2012-2013,36,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult yearling,mean,25,,,,,,,,,
1859,San Andres,2012-2013,46,ungrazed,0,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult yearling,mean,40,,,,,,,,,
1859,Caballoÿ,2012-2013,36,grazed,61,animal unit month,605-6790,mammalia,Ovisÿ,canadensis nelsoni,,browsing time adult yearling,se,4.704,,,,,,,,,
