uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value
981,,2004-01,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,16.45320197
981,,2004-01,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,4.13
981,,2004-01,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,9.852216749
981,,2004-01,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,1.28
981,,2004-02,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,1
981,,2004-02,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2004-02,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,1
981,,2004-02,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2004-03,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0.5
981,,2004-03,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2004-03,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,2
981,,2004-03,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,0.66
981,,2004-06,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0.19
981,,2004-06,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2004-06,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,4.72
981,,2004-06,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,1.27
981,,2004-07,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0.780487805
981,,2004-07,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,1.17
981,,2004-07,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,7.12195122
981,,2004-07,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,3.6
981,,2004-08,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,2.068965517
981,,2004-08,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,1.28
981,,2004-08,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,14.58128079
981,,2004-08,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,4.72
981,,2004-10,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0.591133005
981,,2004-10,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2004-10,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,8.177339901
981,,2004-10,3,ungrazed,15,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,4.43
981,,2005-02,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0
981,,2005-02,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2005-02,3,ungrazed,16,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,7.389162562
981,,2005-02,3,ungrazed,16,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,4.827
981,,2005-04,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0.295566502
981,,2005-04,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2005-04,3,ungrazed,16,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,2.561576355
981,,2005-04,3,ungrazed,16,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,0
981,,2005-07,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,0.886699507
981,,2005-07,3,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0.591
981,,2005-07,3,ungrazed,16,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,mean,1.57635468
981,,2005-07,3,ungrazed,16,animal units,0,Mammal,Microtus,californicus,,captures/100 nights,se,0.689
981,,2005-10,,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,mean,2.167487685
981,,2005-10,,grazed,0,animal units,75,Mammal,Microtus,californicus,,captures/100 nights,se,0.689
