uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value
94,Blackmount,1991,15,grazed,0,deer per km2,11,plants,,,,biomass,mean,0.7
94,Tyndrum,1991,15,grazed,0,deer per km2,13,plants,,,,biomass,mean,0.2
94,Meggernie,1991,15,grazed,0,deer per km2,15,plants,,,,biomass,mean,0.5
94,Rannoch,1991,15,grazed,0,deer per km2,15,plants,,,,biomass,mean,0.3
94,Glen Feshie,1991,15,grazed,0,deer per km2,20,plants,,,,biomass,mean,0.6
94,Abernethy,1991,15,grazed,0,deer per km2,11,plants,,,,biomass,mean,1
94,Ballochbuie,1991,15,grazed,0,deer per km2,14,plants,,,,biomass,mean,0.9
94,Glen Tanar,1991,15,grazed,0,deer per km2,16,plants,,,,biomass,mean,1.2
94,Blackmount,1991,15,grazed,0,deer per km2,11,plants,,,,biomass,se,0.2
94,Tyndrum,1991,15,grazed,0,deer per km2,13,plants,,,,biomass,se,0.03
94,Meggernie,1991,15,grazed,0,deer per km2,15,plants,,,,biomass,se,0.2
94,Rannoch,1991,15,grazed,0,deer per km2,15,plants,,,,biomass,se,0.2
94,Glen Feshie,1991,15,grazed,0,deer per km2,20,plants,,,,biomass,se,0
94,Abernethy,1991,15,grazed,0,deer per km2,11,plants,,,,biomass,se,0
94,Ballochbuie,1991,15,grazed,0,deer per km2,14,plants,,,,biomass,se,0.2
94,Glen Tanar,1991,15,grazed,0,deer per km2,16,plants,,,,biomass,se,0.2
94,Blackmount,1991,15,ungrazed,1,deer per km2,0,plants,,,,biomass,mean,1.5
94,Tyndrum,1991,15,ungrazed,1,deer per km2,0,plants,,,,biomass,mean,1
94,Meggernie,1991,15,ungrazed,1,deer per km2,0,plants,,,,biomass,mean,1.7
94,Rannoch,1991,15,ungrazed,1,deer per km2,0,plants,,,,biomass,mean,1.9
94,Glen Feshie,1991,15,ungrazed,1,deer per km2,10,plants,,,,biomass,mean,1.4
94,Abernethy,1991,15,ungrazed,1,deer per km2,3,plants,,,,biomass,mean,1.8
94,Ballochbuie,1991,15,ungrazed,1,deer per km2,4,plants,,,,biomass,mean,1.5
