Block,Grazing treatment,Total plant biomass (g/m2),Plant litter biomass (g/m2),Total ant nest density (no. m-2)
1,1,178.9,113.6,0.72
2,1,167.1,132.4,0.92
3,1,175.4,152.3,1.78
4,1,201.9,124.7,1.53
5,1,196.7,141.8,2.06
6,1,162,132.2,0.56
1,2,197.9,150.9,2.53
2,2,186.6,106.6,0.97
3,2,174.6,121.9,2.03
4,2,185,122.9,1
5,2,192.8,105,1.47
6,2,190.4,124.7,0.53
