Species,Na‹ve ?,Sanctuary,SD,Conservancy,SD,Fenced,SD,Group,SD,,,,,,,,,,,,
Guenther's dikdik,0.389,0.369,0.187,0.469,0.255,0.408,0.228,0.342,0.172,,sample size,,,,,,,,,,
Steinbuck,0.151,0.032,0.107,0.233,0.053,0.302,0.073,0.014,0.013,,Sanctuary,143,,,,,,,,,
Gerenuk,0.123,0.368,0.126,0.000,0.000,0.043,0.021,0.153,0.102,,Conservancy,196,,,,,,,,,
Reticulated giraffe,0.399,0.693,0.067,0.638,0.054,0.064,0.022,0.000,0.000,,Fenced,101,,,,,,,,,
Black-backed Jackal,0.077,0.026,0.026,0.581,0.317,0.000,0.000,0.000,0.000,,Group,82,,,,,,,,,
Small cats (n=3),0.046,0.029,0.037,0.131,0.051,0.367,0.170,0.000,0.000,,,,,,,,,,,,
Small carnivores (n=5),0.036,0.022,0.013,0.063,0.047,0.020,0.012,0.025,0.012,,,,,,,,,,,,
White-tailed mongoose,0.050,0.040,0.016,0.074,0.029,0.049,0.028,0.051,0.038,,,,,,,,,,,,
Leopard,0.115,0.251,0.081,0.135,0.037,0.038,0.015,0.000,0.000,,,,,,,,,,,,
Lion,0.069,0.286,0.109,0.129,0.059,0.019,0.019,0.000,0.000,,,,,,,,,,,,
Aardwolf,0.077,0.409,0.177,0.167,0.054,0.025,0.025,0.018,0.019,,,,,,,,,,,,
Spotted hyena,0.318,0.559,0.051,0.517,0.051,0.193,0.047,0.050,0.032,,,,,,,,,,,,
Striped hyena,0.203,0.376,0.094,0.420,0.067,0.258,0.075,0.062,0.035,,,,,,,,,,,,
Scrub hare,0.169,0.139,0.040,0.244,0.045,0.208,0.053,0.190,0.052,,,,,,,,,,,,
Warthog,0.182,0.322,0.052,0.359,0.048,0.069,0.032,0.101,0.048,,,,,,,,,,,,
Thompson's gazelle,0.098,0.057,0.025,0.357,0.073,0.000,0.000,0.040,0.043,,,,,,,,,,,,
Grant's gazelle,0.211,0.327,0.054,0.344,0.056,0.016,0.041,0.012,0.012,,,,,,,,,,,,
Hartebeest,0.046,0.111,0.050,0.229,0.059,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Beisa oryx,0.115,0.362,0.072,0.123,0.035,0.013,0.012,0.000,0.000,,,,,,,,,,,,
Waterbuck,0.090,0.126,0.038,0.179,0.043,0.224,0.066,0.000,0.000,,,,,,,,,,,,
Common zebra,0.324,0.789,0.061,0.480,0.052,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Grevy's zebra,0.086,0.296,0.156,0.102,0.066,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Cape buffalo,0.157,0.318,0.045,0.366,0.072,0.056,0.027,0.025,0.025,,,,,,,,,,,,
Bush duiker,0.123,0.057,0.023,0.066,0.021,0.516,0.067,0.094,0.037,,,,,,,,,,,,
Impala,0.402,0.426,0.057,0.458,0.049,0.240,0.056,0.092,0.043,,,,,,,,,,,,
Bushbuck,0.038,0.000,0.000,0.020,0.014,0.154,0.050,0.000,0.000,,,,,,,,,,,,
Elephant,0.255,0.345,0.024,0.500,0.075,0.012,0.008,0.123,0.009,,,,,,,,,,,,
Eland,0.144,0.377,0.072,0.208,0.056,0.053,0.028,0.000,0.000,,,,,,,,,,,,
Olive baboon,0.276,0.323,0.059,0.449,0.058,0.311,0.065,0.015,0.014,,,,,,,,,,,,
Aardvark,0.075,0.082,0.033,0.368,0.099,0.146,0.055,0.254,0.093,,,,,,,,,,,,
Crested porcupine,0.036,0.049,0.022,0.038,0.018,0.033,0.019,0.053,0.022,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
