SiteID,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Estimate,Stat,value,rep
I,grazed,0,cattle / ha,5.5,Hymenoptera,richness,mean,4.7,6
E,grazed,0,cattle / ha,1.4,Hymenoptera,richness,mean,6.2,6
U,ungrazed,5,cattle / ha,0,Hymenoptera,richness,mean,11.5,6
I,grazed,0,cattle / ha,5.5,Hymenoptera,richness,se,0.9,6
E,grazed,0,cattle / ha,1.4,Hymenoptera,richness,se,1,6
U,ungrazed,5,cattle / ha,0,Hymenoptera,richness,se,0.8,6
I,grazed,0,cattle / ha,5.5,Hymenoptera,abundance,mean,26.8,6
E,grazed,0,cattle / ha,1.4,Hymenoptera,abundance,mean,46.8,6
U,ungrazed,5,cattle / ha,0,Hymenoptera,abundance,mean,85.3,6
I,grazed,0,cattle / ha,5.5,Hymenoptera,abundance,se,5.9,6
E,grazed,0,cattle / ha,1.4,Hymenoptera,abundance,se,2.9,6
U,ungrazed,5,cattle / ha,0,Hymenoptera,abundance,se,13.7,6
I,grazed,0,cattle / ha,5.5,Lepidoptera,richness,mean,1.8,6
E,grazed,0,cattle / ha,1.4,Lepidoptera,richness,mean,4.7,6
U,ungrazed,5,cattle / ha,0,Lepidoptera,richness,mean,6.6,6
I,grazed,0,cattle / ha,5.5,Lepidoptera,richness,se,0.8,6
E,grazed,0,cattle / ha,1.4,Lepidoptera,richness,se,0.6,6
U,ungrazed,5,cattle / ha,0,Lepidoptera,richness,se,0.5,6
I,grazed,0,cattle / ha,5.5,Lepidoptera,abundance,mean,1.8,6
E,grazed,0,cattle / ha,1.4,Lepidoptera,abundance,mean,8.2,6
U,ungrazed,5,cattle / ha,0,Lepidoptera,abundance,mean,22,6
I,grazed,0,cattle / ha,5.5,Lepidoptera,abundance,se,1.2,6
E,grazed,0,cattle / ha,1.4,Lepidoptera,abundance,se,2.9,6
U,ungrazed,5,cattle / ha,0,Lepidoptera,abundance,se,12.5,6
