uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Agonum,ericeti,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Agonum,sexpunctatum,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Arnara,aenea,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Arnara,lunicollis,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Amara,sp.,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Bradycellus,collaris,,proportion of sites,count,2,0.071
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Bradycellus,ruficollis,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Calathus,erratus,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Calathus,fuscipes,,proportion of sites,count,6,0.214
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Calathus,melanocephalus,,proportion of sites,count,15,0.536
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Calathus,micropterus,,proportion of sites,count,16,0.571
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Carabus,arvensis,,proportion of sites,count,7,0.25
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Carabus,glabratus,,proportion of sites,count,16,0.571
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Carabus,nemoralis,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Carabus,problematicus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Carabus,violaceus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Cychrus,caraboides,,proportion of sites,count,5,0.179
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Cyminidis,vaporariorum,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Elaphrus,lapponicus,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Elaphrus,uliginosus,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Harplaus,aeneus,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Harplaus,latus,,proportion of sites,count,2,0.071
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Harplaus,quadripunctatus,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Leistus,ferrugineus,,proportion of sites,count,9,0.321
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Leistus,rufescens,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Loricera,pilicornis,,proportion of sites,count,8,0.286
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Miscodera,arctica,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Nebria,brevicollis,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Nebria,salina,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Notiophilus,aquaticus,,proportion of sites,count,13,0.464
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Notiophilus,biguttatus,,proportion of sites,count,10,0.357
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Notiophilus,germinyi,,proportion of sites,count,8,0.286
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Olisthopus,rotundatus,,proportion of sites,count,2,0.071
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Patrobus,assimilis,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Pterostichus,adstrictus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Pterostichus,diligens,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Pterostichus,madidus,,proportion of sites,count,10,0.357
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Pterostichus,melanarius,,proportion of sites,count,8,0.286
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,P.niger,(Schaller),,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,P.niger,nigrita,,proportion of sites,count,7,0.25
