uniqueID	siteID	year	replicate	grazing.compare	last.grazed	grazing.estimate	grazing.value	Taxa	Genus	Species	Status	Estimate	Stat	Value
2196	farm	2004	21	grazed	0	livestock unit/ha*#days pasture stocked	0.9-2.7	Mollusca				richness	Coefficient of determination	0.21
2196	farm	2004	21	grazed	0	livestock unit/ha*#days pasture stocked	0.9-2.7	Mollusca				rare species richness	Coefficient of determination	0.32
